date,open,close,low,high,volume,money
1990/12/20,104.3,104.39,99.98,104.39,197000.0,85000.0
1990/12/21,109.07,109.13,103.73,109.13,28000.0,16100.0
1990/12/24,113.57,114.55,109.13,114.55,32000.0,31100.0
1990/12/25,120.09,120.25,114.55,120.25,15000.0,6500.0
1990/12/26,125.27,125.27,120.25,125.27,100000.0,53700.0
1990/12/27,125.27,125.28,125.27,125.28,66000.0,104600.0
1990/12/28,126.39,126.45,125.28,126.45,108000.0,88000.0
1990/12/31,126.56,127.61,126.48,127.61,78000.0,60000.0
1991/1/2,127.61,128.84,127.61,128.84,91000.0,59100.0
1991/1/3,128.84,130.14,128.84,130.14,141000.0,93900.0
1991/1/4,131.27,131.44,130.14,131.44,420000.0,261900.0
1991/1/7,131.99,132.06,131.45,132.06,217000.0,141700.0
1991/1/8,132.62,132.68,132.06,132.68,2926000.0,1806900.0
1991/1/9,133.3,133.34,132.68,133.34,5603000.0,3228700.0
1991/1/10,133.93,133.97,133.34,133.97,9990000.0,5399500.0
1991/1/11,134.61,134.6,134.51,134.61,13327000.0,7115700.0
1991/1/14,134.11,134.67,134.11,135.19,12530000.0,6883600.0
1991/1/15,134.21,134.74,134.19,134.74,1446000.0,1010400.0
1991/1/16,134.19,134.24,134.14,134.74,509000.0,270100.0
1991/1/17,133.67,134.25,133.65,134.25,658000.0,334200.0
1991/1/18,133.7,134.24,133.67,134.25,3004000.0,1570800.0
1991/1/21,133.7,134.24,133.66,134.24,2051000.0,1029300.0
1991/1/22,133.72,133.72,133.66,134.24,354000.0,180800.0
1991/1/23,133.17,133.17,133.14,133.72,1095000.0,575900.0
1991/1/24,132.61,132.61,132.57,133.17,1857000.0,917400.0
1991/1/25,132.05,132.05,132.03,132.07,3447000.0,1722200.0
1991/1/28,131.46,131.46,131.46,131.55,5107000.0,2565600.0
1991/1/29,130.95,130.95,130.95,130.97,1387000.0,710700.0
1991/1/30,130.44,130.44,130.41,130.95,527000.0,260700.0
1991/1/31,129.93,129.97,129.93,130.46,510000.0,244700.0
1991/2/1,129.5,129.51,129.45,129.97,345000.0,140900.0
1991/2/4,129.05,129.05,129.05,129.58,553000.0,273700.0
1991/2/5,128.56,128.58,128.53,128.58,8562000.0,4250100.0
1991/2/6,129.13,129.14,128.06,129.15,6641000.0,3847300.0
1991/2/7,129.74,129.79,129.14,129.79,2133000.0,1504800.0
1991/2/8,130.36,130.38,129.79,130.39,1234000.0,879900.0
1991/2/11,130.92,130.97,130.39,130.97,9317000.0,4834900.0
1991/2/12,131.54,131.35,130.97,131.56,3774000.0,1987000.0
1991/2/13,131.93,131.92,131.35,131.93,1152000.0,673700.0
1991/2/14,132.53,132.53,132.3,132.53,3624000.0,1883100.0
1991/2/19,133.12,133.13,133.08,133.14,1748000.0,1216200.0
1991/2/20,133.63,133.67,133.13,133.67,876000.0,520700.0
