real,forecast
3352.15,2870.7592094572037
3377.09,2799.944038937433
3459.69,2797.0003281337886
3503.85,2872.7576877313318
3546.84,2883.700944816038
3569.38,2838.0249683678894
3635.49,2833.798908773042
3600.7,2899.2600174067675
3634.56,2930.2599951265083
3615.01,2879.561824493747
3656.83,2874.7326132445523
3710.61,2946.8041768903095
3737.04,2972.9344296245026
3742.21,2919.4079766794566
3775.89,2918.039942347752
3792.21,2993.834810884263
3891.73,3020.0548782122596
3903.65,2975.9485019546496
3900.03,2964.758950118964
3929.32,3041.6953182147
4057.29,3084.0311197736632
4091.26,3027.6105864427877
4069.01,3015.541269776786
4031.24,3093.855233573013
4238.91,3132.97972460483
4190.68,3078.971157434662
4188.57,3073.8692525043184
4297.95,3150.322859020648
4358.84,3204.4012522812413
4318.12,3139.155716459045
4441.93,3130.1707617257543
4432.9,3222.1727223318394
4398.64,3276.4893524077875
4441.05,3210.6412545477488
4387.43,3197.9254183456296
4282.24,3295.8972053669286
4187.37,3378.4693716729194
4108.01,3274.5584174497253
4099.04,3266.780352910386
4187.82,3364.5675377422003
4317.98,3434.1636016574757
4342.48,3329.907747691514
4329.04,3321.7920388678713
4278.55,3419.078185101241
4260.51,3496.5406941463225
4285.78,3395.7711267961176
4432.28,3381.0882315407052
4438.26,3480.555283030811
4562.99,3557.536025305646
4656.83,3452.6480232073804
4779.08,3446.709820589939
4857.06,3540.261936076843
4614.24,3598.8794131726127
4431.56,3524.2292990770347
4615.23,3512.4035573436668
4797.55,3614.428281450691
4822.44,3663.2814319014933
4647.41,3593.0266751933027
4898.07,3585.4566514531452
4997.48,3696.0958006457895
5042.96,3743.5771602954087
5001.49,3662.8550087944814
5050.77,3655.203067581011
5103.4,3762.966015590864
5048.74,3816.577226043085
4842.1,3746.3167896560235
4767.22,3728.688205563757
4780.87,3840.6322017577304
4476.5,3882.6701522694575
4264.77,3806.2151492944467
4552.13,3800.4283819553784
4483.55,3909.0245494424353
4139.53,3969.512088460384
3875.05,3853.22326819295
3847.88,3847.940372830839
4043.37,3954.6225642943473
3795.25,3997.433711214539
3629.56,3880.5098100369323
3653.04,3873.9960591406957
3585.4,3979.369209315151
3421.53,4013.8169623039266
3373.54,3897.735719349636
3677.44,3891.879784527703
3858.64,3993.420180376091
3855.56,4023.236446834667
3741.25,3909.303381086331
3688.44,3903.159950506861
3814.15,4001.6481195199344
3927.12,4037.089791083684
3912.8,3927.611942582849
3960.86,3918.195070843525
4019.04,4014.050867367003
4044.83,4056.976419218253
3720.44,3947.472030054555
3537.36,3944.099238407698
3612.06,4032.717823983482
3685.96,4070.4868530616964
3620.17,3965.2793056403307
3549.5,3952.5881513399368
3601.29,4040.0767046797205
3676.39,4077.830200006696
3614.74,3972.044644434124
3686.3,3966.715860320717
3775.85,4050.626047675887
3891.18,4091.339827971441
3871.14,3987.466537130085
3838.16,3981.958336106703
3939.84,4064.453248084649
3907.4,4111.84289327229
3743.39,4012.6727295327937
3558.38,4002.6175466105515
3663.61,4080.8839128421014
3490.54,4124.845261386152
3191.88,4027.800046365118
2947.94,4025.4383557415176
2850.71,4100.694841438513
2906.49,4124.68559689209
3102.95,4024.667111778023
3109.16,4021.891395388307
3053.74,3977.069775748189
3019.09,4120.570746245845
3066.3,4018.269134536151
3011.12,4014.499158285925
3165.7,4087.370198797392
3178.9,4115.911838408843
3163.45,4012.9860673058556
3049.23,4009.5005458975475
2983.92,3926.616828747142
2983.54,4104.6647583322065
3085.31,4005.6795363474903
3070.34,4002.2540915582417
3060.86,3899.482916055028
3152.48,4087.3856456896306
3104.74,3992.226727925209
3109.69,3987.487729219169
3063.0,3827.6542941688185
3042.31,4069.1368857552757
3021.16,3978.674021339354
3039.74,3972.385817736525
3133.13,3888.221196109902
3137.79,4050.336190854247
3188.41,3958.3347828314486
3253.25,3956.5251382821425
3256.25,3880.3809579808108
3254.39,4036.160191556155
3334.85,3938.46095678057
3355.57,3934.617724791271
3357.86,3957.1035841149046
3265.44,4016.9628647259906
3282.99,3918.3314008026
3360.22,3914.14083078168
3402.0,3844.754628786469
3332.62,3988.18648598459
3367.23,3893.8001727471205
3362.51,3888.559404031028
3346.59,3776.987699929552
3322.31,3940.168771548742
3302.18,3863.3776162203076
3325.62,3858.8961204298344
3455.53,3779.812451967657
3508.83,3886.967209127484
3588.5,3829.9855367544505
3607.89,3827.3339535026907
3605.62,3719.138409814952
3603.23,3851.6187853450774
3564.81,3807.250032821945
3519.42,3800.7185447161037
3598.07,3650.7190634678846
3558.7,3832.314606607444
3561.04,3786.5220073106366
3607.92,3781.2016507531876
3598.87,3680.491557061805
3563.1,3802.3935696676863
3607.52,3763.749250474445
3629.86,3758.319852823034
3412.43,3631.505593773136
3327.81,3772.2568043036786
3417.54,3734.5896492943502
3427.66,3728.5496181226117
3517.23,3612.298924239185
3510.41,3721.2841849685183
3506.62,3690.266007873448
3466.79,3688.2083330182
3454.88,3694.229165248291
